spam,mensagem
0,Você pode me mandar o relatório hoje? :)
0,"O almoço está marcado para meio-dia, certo? :)"
1,Você foi escolhido para uma oportunidade única de investimento. :)
1,Ganhe dinheiro sem sair de casa com este método simples.
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
1,Oferta válida apenas hoje! Não perca!!!!
1,Oferta válida apenas hoje! Não perca!.
0,Vamos nos encontrar amanhã no trabalho.!!!
0,Vamos nos encontrar amanhã no trabalho..
0,Reunião de equipe está marcada para as 14h de hoje
0,Preciso da sua aprovação no documento que enviei
0,Vamos almoçar juntos amanhã?
0,Parabéns pelo seu aniversário! Felicidades!
0,Obrigado pela ajuda com o projeto
0,Podemos conversar sobre aquele assunto depois?
0,Conseguiu resolver o problema do sistema?
0,A apresentação ficou excelente! Parabéns
0,Não esqueça de trazer os documentos amanhã
0,Precisamos marcar uma reunião urgente
0,O cliente aprovou a proposta que enviamos
0,Vou chegar um pouco atrasado hoje
0,Você viu o email que te mandei ontem?
0,A festa de confraternização será na sexta
0,Preciso do seu feedback sobre o relatório
0,Obrigado por comparecer à reunião
0,Vamos discutir isso pessoalmente
0,Conseguiu finalizar a tarefa de hoje?
0,O prazo final é na próxima semana
0,Estou enviando os arquivos por email
0,Pode me ligar quando tiver um tempo?
0,A reunião foi remarcada para terça-feira
0,Preciso que revise este documento urgente
0,Vamos fazer um happy hour sexta-feira?
0,O sistema está funcionando normalmente agora
0,Recebi sua mensagem e já estou resolvendo
0,Podemos adiar a reunião para amanhã?
0,Parabéns pela promoção! Você merece
0,Estou trabalhando no relatório solicitado
0,A entrega está confirmada para segunda
0,Você tem disponibilidade na quinta-feira?
1,URGENTE! Sua conta será bloqueada em 24h
1,Parabéns! Você ganhou R$ 50.000 em prêmios!!!
1,Clique AGORA e receba dinheiro grátis
1,Oferta EXCLUSIVA! Apenas para você
1,Seu WhatsApp foi premiado! Clique aqui
1,Trabalhe em casa e ganhe R$ 10.000 por mês
1,ATENÇÃO! Cadastro irregular detectado
1,Você tem uma dívida pendente. Regularize JÁ
1,Ganhe iPhone 15 GRÁTIS! Corre que é por tempo limitado
1,Empréstimo aprovado! Até R$ 100.000 disponível
1,Resgate seu prêmio de R$ 5.000 AGORA
1,Cartão de crédito APROVADO! Limite de R$ 20.000
1,PROMOÇÃO RELÂMPAGO! Notebook por R$ 99
1,Sua fatura tem desconto de 90%! Aproveite
1,Oportunidade ÚNICA de investimento! Lucre muito
1,URGENTE: Confirme seus dados bancários
1,Você foi SORTEADO! Clique para retirar prêmio
1,Fature ALTO trabalhando pela internet
1,Método SECRETO para ficar rico rápido
1,Crédito LIBERADO! Sem consulta ao SPC
1,CORRE! Promoção acaba em 1 hora
1,Ganhe R$ 1.000 por dia sem esforço
1,Seu CPF na lista de premiados! Resgate já
1,ATENÇÃO! Boleto vencido. Pague com desconto
1,Empréstimo SEM JUROS aprovado para você
1,Clique e ganhe vale-compras de R$ 500
1,OPORTUNIDADE IMPERDÍVEL! Invista e lucre 300%
1,Seu nome está SUJO? Limpe agora com desconto
1,ÚLTIMA CHANCE! Promoção termina hoje
1,Ganhe dinheiro FÁCIL respondendo pesquisas
1,Você tem uma HERANÇA não reclamada
0,Qual horário melhor para você amanhã?
0,Chegamos a um acordo com o fornecedor
0,A videoconferência começa em 10 minutos
0,Obrigado pela paciência com o atraso
0,Seu pedido foi aprovado pela diretoria
0,Vamos precisar estender o prazo do projeto
0,Ótimo trabalho na apresentação de hoje
0,Consegui resolver aquele bug do sistema
0,A reunião com o cliente foi produtiva
0,Precisamos alinhar as expectativas do projeto
0,Pode me enviar a planilha atualizada?
0,Vou estar de férias na próxima semana
0,O treinamento será na sala de reuniões
0,Confirmado para quinta-feira às 15h
0,Preciso de mais informações sobre o caso
0,A proposta foi aceita pelo cliente
0,Vamos celebrar o sucesso do projeto
0,Estou com dúvida nesta parte do código
0,O servidor está passando por manutenção
0,Podemos revisar o orçamento juntos?
0,A equipe está de parabéns pelo resultado
0,Vou encaminhar sua solicitação ao RH
0,Precisamos de mais recursos para o projeto
0,O evento será transmitido online também
0,Pode confirmar sua presença no evento?
1,QUEIMA DE ESTOQUE! Tudo pela metade do preço
1,Você foi PRÉ-APROVADO para financiamento
1,Ganhe PIX de R$ 200 AGORA! Clique aqui
1,ATENÇÃO! Tentativa de login suspeita detectada
1,Seu benefício do governo está disponível
1,CORRA! Vagas limitadas para trabalho remoto
1,Cadastro irregular! Atualize seus dados
1,Receba GRÁTIS produtos em sua casa
1,Sua senha expira em 24h! Renove urgente
1,PROMOÇÃO: Smart TV 75" por apenas R$ 299
1,Você tem direito a restituição de R$ 3.500
1,CLIQUE e descubra quem visitou seu perfil
1,Ganhe dinheiro ASSISTINDO VÍDEOS
1,Seu pacote está RETIDO. Pague taxa urgente
1,INVESTIMENTO garantido! Retorno de 500%
1,Você foi SELECIONADO para teste de produto
1,URGENTE! Confirmação de compra necessária
1,Ganhe seguidores ILIMITADOS no Instagram
1,Seu veículo foi multado! Veja foto aqui
1,OPORTUNIDADE: Seja seu próprio chefe
1,Crédito consignado APROVADO sem burocracia
1,ALERTA: Atividade suspeita na sua conta
1,Você ganhou CASHBACK de R$ 1.500
1,SORTEIO: Concorra a uma casa própria
1,Divida CANCELADA! Confira seus dados
1,PROMOÇÃO: Curso online GRÁTIS por tempo limitado
1,Seu número foi PREMIADO com carro 0km
1,ATENÇÃO: Pagamento não identificado
1,Método APROVADO para emagrecer 15kg em 7 dias
1,LIBERADO: Saque FGTS de até R$ 5.000
0,Lembre-se da reunião de amanhã.
1,Oferta válida apenas hoje! Não perca!.
1,"Promoção imperdível! iPhone por R$ 9,99!!!!"
1,Você ganhou um prêmio! Clique aqui para resgatar.!!!
1,Aproveite! Últimas unidades com 90% de desconto!
0,Já enviou o documento para o cliente?!!!
1,Aumente seus lucros em 200% com este método secreto!
1,Você ganhou um prêmio! Clique aqui para resgatar.!!!
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,"Oi, tudo bem? :)"
0,Pode revisar o código que te mandei?.
0,"Estou terminando o projeto, te aviso quando estiver pronto."
1,Ganhe dinheiro sem sair de casa com este método simples..
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.
1,Seu CPF foi sorteado! Retire seu prêmio agora..
0,Já enviou o documento para o cliente?!!!
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.!!!
0,Lembre-se da reunião de amanhã..
0,"O almoço está marcado para meio-dia, certo?"
0,"Estou terminando o projeto, te aviso quando estiver pronto. :)"
1,Parabéns! Você foi selecionado para receber um bônus exclusivo..
1,Aproveite! Últimas unidades com 90% de desconto!!!!
1,"Promoção imperdível! iPhone por R$ 9,99!!!!"
0,Lembre-se da reunião de amanhã.!!!
1,Clique aqui para confirmar seu prêmio milionário. :)
1,Clique aqui para confirmar seu prêmio milionário. :)
1,Seu CPF foi sorteado! Retire seu prêmio agora..
0,Vamos nos encontrar amanhã no trabalho.!!!
1,Aumente seus lucros em 200% com este método secreto!!!!
0,Lembre-se da reunião de amanhã.!!!
1,Você ganhou um prêmio! Clique aqui para resgatar.!!!
1,Seu CPF foi sorteado! Retire seu prêmio agora.!!!
0,"O almoço está marcado para meio-dia, certo?!!!"
1,Você ganhou um prêmio! Clique aqui para resgatar.
0,"Oi, tudo bem?."
1,Oferta válida apenas hoje! Não perca!.
1,Aumente seus lucros em 200% com este método secreto!
1,Clique aqui para confirmar seu prêmio milionário. :)
0,Vamos nos encontrar amanhã no trabalho.
0,Já enviou o documento para o cliente?
0,Lembre-se da reunião de amanhã.!!!
0,Já enviou o documento para o cliente?
1,Aproveite! Últimas unidades com 90% de desconto!!!!
1,Você foi escolhido para uma oportunidade única de investimento.!!!
0,Boa tarde! Como foi o fim de semana?.
0,Lembre-se da reunião de amanhã. :)
0,Boa tarde! Como foi o fim de semana? :)
1,Você ganhou um prêmio! Clique aqui para resgatar..
1,Oferta válida apenas hoje! Não perca!!!!
0,Vamos nos encontrar amanhã no trabalho.
0,Vamos nos encontrar amanhã no trabalho.
0,Você pode me mandar o relatório hoje? :)
1,Você foi escolhido para uma oportunidade única de investimento.
0,"Estou terminando o projeto, te aviso quando estiver pronto.."
0,Você pode me mandar o relatório hoje? :)
0,Lembre-se da reunião de amanhã.
1,Clique aqui para confirmar seu prêmio milionário.!!!
0,Boa tarde! Como foi o fim de semana? :)
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,Boa tarde! Como foi o fim de semana?!!!
0,"Oi, tudo bem? :)"
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,Ganhe dinheiro sem sair de casa com este método simples.!!!
1,Oferta válida apenas hoje! Não perca!!!!
0,Pode revisar o código que te mandei?
1,Aumente seus lucros em 200% com este método secreto!
0,Já enviou o documento para o cliente?.
0,Vamos nos encontrar amanhã no trabalho.
1,"Promoção imperdível! iPhone por R$ 9,99!."
0,Lembre-se da reunião de amanhã..
1,Você foi escolhido para uma oportunidade única de investimento. :)
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,Você pode me mandar o relatório hoje?.
1,Ganhe dinheiro sem sair de casa com este método simples..
0,Lembre-se da reunião de amanhã.!!!
0,Pode revisar o código que te mandei? :)
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,Você pode me mandar o relatório hoje?!!!
0,"Estou terminando o projeto, te aviso quando estiver pronto."
0,Lembre-se da reunião de amanhã. :)
0,"Oi, tudo bem?."
1,Oferta válida apenas hoje! Não perca!.
0,Boa tarde! Como foi o fim de semana?.
0,Vamos nos encontrar amanhã no trabalho.!!!
0,"O almoço está marcado para meio-dia, certo?"
0,Pode revisar o código que te mandei?
1,Seu CPF foi sorteado! Retire seu prêmio agora..
0,Pode revisar o código que te mandei? :)
0,Você pode me mandar o relatório hoje?
1,"Promoção imperdível! iPhone por R$ 9,99!"
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
0,Já enviou o documento para o cliente? :)
0,"Oi, tudo bem?."
1,Clique aqui para confirmar seu prêmio milionário.!!!
0,"Estou terminando o projeto, te aviso quando estiver pronto."
0,Confirma a entrega para quinta-feira?!!!
0,Já enviou o documento para o cliente?.
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.
1,Você foi escolhido para uma oportunidade única de investimento. :)
1,Aproveite! Últimas unidades com 90% de desconto!!!!
0,Boa tarde! Como foi o fim de semana? :)
1,Clique aqui para confirmar seu prêmio milionário.
0,"O almoço está marcado para meio-dia, certo?."
1,Você foi escolhido para uma oportunidade única de investimento. :)
0,"O almoço está marcado para meio-dia, certo?!!!"
0,Boa tarde! Como foi o fim de semana? :)
0,"Oi, tudo bem? :)"
1,Você foi escolhido para uma oportunidade única de investimento.!!!
1,Aproveite! Últimas unidades com 90% de desconto! :)
1,Ganhe dinheiro sem sair de casa com este método simples. :)
0,"Estou terminando o projeto, te aviso quando estiver pronto."
1,Você ganhou um prêmio! Clique aqui para resgatar.
1,Ganhe dinheiro sem sair de casa com este método simples.!!!
0,Você pode me mandar o relatório hoje?
0,Boa tarde! Como foi o fim de semana?!!!
0,Lembre-se da reunião de amanhã.!!!
0,Lembre-se da reunião de amanhã. :)
0,Você pode me mandar o relatório hoje?!!!
1,Seu CPF foi sorteado! Retire seu prêmio agora.
1,Você foi escolhido para uma oportunidade única de investimento.
0,"Oi, tudo bem?."
1,Você ganhou um prêmio! Clique aqui para resgatar.
0,Vamos nos encontrar amanhã no trabalho. :)
0,"O almoço está marcado para meio-dia, certo?"
1,Aumente seus lucros em 200% com este método secreto!
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,Confirma a entrega para quinta-feira?.
0,Vamos nos encontrar amanhã no trabalho..
0,Confirma a entrega para quinta-feira?
1,Clique aqui para confirmar seu prêmio milionário.
0,Confirma a entrega para quinta-feira?
0,Vamos nos encontrar amanhã no trabalho.
0,Vamos nos encontrar amanhã no trabalho.!!!
0,Já enviou o documento para o cliente?!!!
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,"Oi, tudo bem?"
0,Boa tarde! Como foi o fim de semana?.
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.
0,"O almoço está marcado para meio-dia, certo?!!!"
1,Oferta válida apenas hoje! Não perca!.
0,"O almoço está marcado para meio-dia, certo?!!!"
1,Clique aqui para confirmar seu prêmio milionário.!!!
1,"Promoção imperdível! iPhone por R$ 9,99!."
1,Oferta válida apenas hoje! Não perca!!!!
0,Vamos nos encontrar amanhã no trabalho. :)
1,Você ganhou um prêmio! Clique aqui para resgatar. :)
0,"O almoço está marcado para meio-dia, certo?."
0,"Estou terminando o projeto, te aviso quando estiver pronto.."
0,"Estou terminando o projeto, te aviso quando estiver pronto. :)"
0,Lembre-se da reunião de amanhã.!!!
1,Ganhe dinheiro sem sair de casa com este método simples.
1,Parabéns! Você foi selecionado para receber um bônus exclusivo..
0,"Oi, tudo bem?!!!"
0,"Oi, tudo bem? :)"
1,Clique aqui para confirmar seu prêmio milionário..
0,Já enviou o documento para o cliente?
0,Vamos nos encontrar amanhã no trabalho.!!!
0,"O almoço está marcado para meio-dia, certo? :)"
1,Clique aqui para confirmar seu prêmio milionário.!!!
0,Já enviou o documento para o cliente?!!!
0,Confirma a entrega para quinta-feira? :)
1,Ganhe dinheiro sem sair de casa com este método simples.
0,Lembre-se da reunião de amanhã.!!!
0,Boa tarde! Como foi o fim de semana?
1,Clique aqui para confirmar seu prêmio milionário.!!!
0,Lembre-se da reunião de amanhã.
1,Você foi escolhido para uma oportunidade única de investimento.!!!
1,Ganhe dinheiro sem sair de casa com este método simples..
0,Pode revisar o código que te mandei?!!!
0,Já enviou o documento para o cliente? :)
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,"Estou terminando o projeto, te aviso quando estiver pronto.!!!"
1,Você foi escolhido para uma oportunidade única de investimento. :)
0,Vamos nos encontrar amanhã no trabalho.!!!
1,Aumente seus lucros em 200% com este método secreto!
1,Clique aqui para confirmar seu prêmio milionário. :)
0,Vamos nos encontrar amanhã no trabalho..
0,"Oi, tudo bem?."
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
1,Aumente seus lucros em 200% com este método secreto!!!!
1,Seu CPF foi sorteado! Retire seu prêmio agora. :)
0,Lembre-se da reunião de amanhã. :)
1,Parabéns! Você foi selecionado para receber um bônus exclusivo. :)
1,Aumente seus lucros em 200% com este método secreto!
1,Você ganhou um prêmio! Clique aqui para resgatar..
0,Já enviou o documento para o cliente? :)
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,"Oi, tudo bem? :)"
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.!!!
0,"Oi, tudo bem?"
0,"Estou terminando o projeto, te aviso quando estiver pronto.!!!"
0,Já enviou o documento para o cliente?.
1,Aproveite! Últimas unidades com 90% de desconto! :)
0,Você pode me mandar o relatório hoje?!!!
1,Clique aqui para confirmar seu prêmio milionário. :)
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.!!!
1,Ganhe dinheiro sem sair de casa com este método simples. :)
1,Aproveite! Últimas unidades com 90% de desconto! :)
0,Confirma a entrega para quinta-feira?.
0,Vamos nos encontrar amanhã no trabalho..
0,Boa tarde! Como foi o fim de semana?!!!
0,Já enviou o documento para o cliente?
0,Você pode me mandar o relatório hoje? :)
1,Aproveite! Últimas unidades com 90% de desconto!.
1,Aumente seus lucros em 200% com este método secreto! :)
0,"O almoço está marcado para meio-dia, certo?."
0,Pode revisar o código que te mandei?.
0,"Oi, tudo bem?!!!"
0,Boa tarde! Como foi o fim de semana?
1,Você foi escolhido para uma oportunidade única de investimento.
1,Aproveite! Últimas unidades com 90% de desconto! :)
0,Já enviou o documento para o cliente?.
1,Oferta válida apenas hoje! Não perca!.
1,Você ganhou um prêmio! Clique aqui para resgatar..
0,Pode revisar o código que te mandei?!!!
0,Boa tarde! Como foi o fim de semana?
0,"Oi, tudo bem?!!!"
0,Boa tarde! Como foi o fim de semana?
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,Lembre-se da reunião de amanhã.!!!
0,Vamos nos encontrar amanhã no trabalho..
0,"Estou terminando o projeto, te aviso quando estiver pronto.!!!"
1,Parabéns! Você foi selecionado para receber um bônus exclusivo..
0,Pode revisar o código que te mandei?.
0,Você pode me mandar o relatório hoje?!!!
1,Oferta válida apenas hoje! Não perca!
0,"Oi, tudo bem?!!!"
0,"Estou terminando o projeto, te aviso quando estiver pronto.!!!"
0,Vamos nos encontrar amanhã no trabalho.!!!
0,Boa tarde! Como foi o fim de semana?
0,Confirma a entrega para quinta-feira?!!!
1,Oferta válida apenas hoje! Não perca! :)
1,Seu CPF foi sorteado! Retire seu prêmio agora..
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,Boa tarde! Como foi o fim de semana? :)
0,Vamos nos encontrar amanhã no trabalho. :)
1,Você foi escolhido para uma oportunidade única de investimento.!!!
0,Pode revisar o código que te mandei?
0,Vamos nos encontrar amanhã no trabalho..
0,Lembre-se da reunião de amanhã.!!!
1,Aproveite! Últimas unidades com 90% de desconto!.
1,Aproveite! Últimas unidades com 90% de desconto!!!!
0,Pode revisar o código que te mandei?.
1,Você foi escolhido para uma oportunidade única de investimento. :)
1,Clique aqui para confirmar seu prêmio milionário..
0,Vamos nos encontrar amanhã no trabalho..
0,"O almoço está marcado para meio-dia, certo?."
0,Você pode me mandar o relatório hoje? :)
1,Ganhe dinheiro sem sair de casa com este método simples. :)
0,"Estou terminando o projeto, te aviso quando estiver pronto.."
0,Confirma a entrega para quinta-feira?
1,Ganhe dinheiro sem sair de casa com este método simples. :)
1,Você foi escolhido para uma oportunidade única de investimento. :)
0,Pode revisar o código que te mandei?.
0,Você pode me mandar o relatório hoje? :)
0,Confirma a entrega para quinta-feira?
0,Confirma a entrega para quinta-feira?.
1,Parabéns! Você foi selecionado para receber um bônus exclusivo.
1,"Promoção imperdível! iPhone por R$ 9,99!."
1,Seu CPF foi sorteado! Retire seu prêmio agora.
0,Já enviou o documento para o cliente?!!!
0,"Estou terminando o projeto, te aviso quando estiver pronto.."
1,Aproveite! Últimas unidades com 90% de desconto!
1,Você foi escolhido para uma oportunidade única de investimento. :)
0,Confirma a entrega para quinta-feira?
0,"O almoço está marcado para meio-dia, certo?"
0,Confirma a entrega para quinta-feira?.
0,Já enviou o documento para o cliente?
0,"O almoço está marcado para meio-dia, certo?!!!"
1,Você foi escolhido para uma oportunidade única de investimento.!!!
0,"Oi, tudo bem? :)"
0,"Oi, tudo bem?"
0,Vamos nos encontrar amanhã no trabalho.!!!
0,"O almoço está marcado para meio-dia, certo? :)"
1,Você ganhou um prêmio! Clique aqui para resgatar..
0,Pode revisar o código que te mandei?
1,"Promoção imperdível! iPhone por R$ 9,99!"
0,Já enviou o documento para o cliente?.
1,Você ganhou um prêmio! Clique aqui para resgatar.
